dance_style,dance_type,search_query,video_id,video_url,title,description,channel,published_at,view_count,like_count,comment_count,duration,num_comments_retrieved,comment_sentiment,comment_sentiment_avg_compound,comment_sentiment_comment_count
American Rhythm,Latin dance / Rhythm,Latin dance / Rhythm American Rhythm tutorial,LZjBD8ZZAOo,https://www.youtube.com/watch?v=LZjBD8ZZAOo,How To Count Samba (For Beginners) - Samba Rhythm Explained,"Join as a member (Free Trial): https://www.passion4dancing.com/Join Learn how to count the Samba dance. I explain the timing, ...",Passion4dancing,2018-03-27T21:55:24Z,157764,2018,46,PT5M22S,10,positive,0.7,10.0
American Tribal Style,Belly dance,Belly dance American Tribal Style tutorial,MFZG49yVtco,https://www.youtube.com/watch?v=MFZG49yVtco,"American Tribal Style (ATS) by Sirin Tribe, December 2016","Центр трайбл-культуры в Санкт-Петербурге, коллектив Sirin Tribe. Стиль трайбл. --- Join us: ...",Sirin Tribe,2017-01-15T18:53:33Z,267698,3242,71,PT4M59S,10,positive,1.0,10.0
Argentine tango,Latin dance,Latin dance Argentine tango tutorial,qrdE4jqXq_k,https://www.youtube.com/watch?v=qrdE4jqXq_k,Beginner Argentine Tango Basics,"In this video, Helen Wang is going to teach Argentine Tango basics for beginners. If you are interested in learning more, she has ...",Helen Wang Tango,2021-01-31T16:30:04Z,675811,11773,135,PT6M20S,10,positive,1.0,10.0
Bachata,Latin dance,Latin dance Bachata tutorial,8n29Pc4Ik4s,https://www.youtube.com/watch?v=8n29Pc4Ik4s,Beginner Bachata Routine You Can Learn at Home | No Partner Needed,"Our new AD FREE dance workout plan is here to help you reconnect, boost your cognitive skills, stay fit, and have fun along the ...",375 Dance Studio,2020-05-04T18:52:39Z,367212,7834,221,PT13M3S,10,positive,0.9,10.0
Baladi,Belly dance,Belly dance Baladi tutorial,6-BzCLOKZY8,https://www.youtube.com/watch?v=6-BzCLOKZY8,BALADI dance tutorial basic moves - Best Belly Dance Workout,"BALADI dance tutorial basic moves - Best Belly Dance Workout First video about BALADI DANCE, folk from Egypt. Here you have ...",Best Belly Dance Workout,2017-04-18T11:22:45Z,28029,0,14,PT6M1S,7,positive,1.0,7.0
Balboa,Swing dance,Swing dance Balboa tutorial,XAGorQO8kAc,https://www.youtube.com/watch?v=XAGorQO8kAc,RTSF 2017 - Balboa Showcase,"Rock That Swing Festival 2017: Vintage Show - Balboa Showcase by Natasha, Olivier, Vitalia, Taras, Olga, Andreas, Deb & Albert ...",RockThatSwing,2017-03-01T10:40:58Z,543071,2210,40,PT4M26S,10,positive,1.0,10.0
Ballet,Historical dance,Historical dance Ballet tutorial,6Fz27G6WwWw,https://www.youtube.com/watch?v=6Fz27G6WwWw,Ballet for Kids | Episode 1 | CJ and Friends,A beginner ballet tutorial for kids! Learn the basics with this tutorial and learn a simple combination taught by our friend Kaycee.,CJ and Friends,2019-10-25T06:02:39Z,4964130,38697,0,PT5M30S,0,,0.0,
Baroque dance,Historical dance,Historical dance Baroque dance tutorial,v4kDYvHGvAc,https://www.youtube.com/watch?v=v4kDYvHGvAc,Dancing in the Garden: Basic Steps in Baroque Dance,"In this video, we will look at the basic steps for baroque dance: demi-coupé, pas-de-bourrée and coupé based on the descriptions ...",Les Danses Antiques,2020-04-21T17:50:29Z,18833,444,13,PT8M34S,10,positive,0.5,10.0
Bhangra,Other,Other Bhangra tutorial,uZW5Sfk_MZE,https://www.youtube.com/watch?v=uZW5Sfk_MZE,LESSON 1 - BEGINNER BHANGRA SERIES | Fundamentals &amp; Bhangra Footwork | BFUNK Dance Tutorials,"THE BEGINNER BHANGRA SERIES is now LIVE at HTTP://BFUNKDANCE.COM In this lesson, we start with learning the ...",BFunk,2021-05-13T15:06:57Z,1011992,23675,550,PT13M31S,10,positive,1.0,10.0
Bharatanatyam,Classical dance,Classical dance Bharatanatyam tutorial,OIKOHzePJCA,https://www.youtube.com/watch?v=OIKOHzePJCA,"Bharatanatyam Basics: Episode 16: Nattadavu 1, 2, 3, 4 Practice",My Nattadavu Playlist:https://www.youtube.com/watch?v=H7uPmc8P32I&list=PLFocEhZK6Zr5hGifg34MWn38bmsusHMJh In this ...,Moon's Nest,2021-06-01T14:47:22Z,8638013,60401,690,PT4M12S,10,positive,1.0,10.0
Big Apple,Swing dance,Swing dance Big Apple tutorial,C444gS8IcIk,https://www.youtube.com/watch?v=C444gS8IcIk,Learn the Big Apple Routine - Full routine with the counts,Learn the Big Apple Routine with Patrick & Natasha The Big Apple is a worldwide known solo jazz roots dance routine.,PatrickAndNatasha,2010-07-02T00:20:07Z,325503,1870,48,PT4M3S,10,positive,0.9,10.0
Black Bottom,Swing dance,Swing dance Black Bottom tutorial,OTycDNiL2Xk,https://www.youtube.com/watch?v=OTycDNiL2Xk,Online Solo Jazz Class! How to dance 20s Charleston &amp; Black Bottom? Cow Tail move!,Want to learn more like this? Get 6 free lessons here: https://bit.ly/freesolojazzpack ▻ Or check out full membership options: ...,Ksenia Parkhatskaya,2015-12-30T15:12:09Z,1003504,18198,468,PT5M1S,10,positive,1.0,10.0
Blues dance,Swing dance,Swing dance Blues dance tutorial,oYf9JdzO2fw,https://www.youtube.com/watch?v=oYf9JdzO2fw,BLUES - der umfassende Beginners Guide,Deswegen stagniert dein Tanzen: https://www.youtube.com/watch?v=l2gfAs-1tiE Erhalte jeden Mittwoch konkrete und ...,Social Dancing Academy by Conny & Dado,2023-09-03T10:36:16Z,41896,511,30,PT10M21S,10,positive,1.0,10.0
Bolero,Latin dance / Rhythm,Latin dance / Rhythm Bolero tutorial,gtQOIc_mp-0,https://www.youtube.com/watch?v=gtQOIc_mp-0,How to bolero Basics | Easy to follow steps &amp; technique | American Rhythm,"Check out our NEW ""How to dance swing for beginners"" lesson Learn to dance American Rhythm anytime - anywhere! Visit our ...",I Can Cha Cha,2020-09-24T18:00:05Z,73487,1123,43,PT6M32S,10,positive,0.9,10.0
Bollywood dance,Other,Other Bollywood dance tutorial,2kgTZ2npQQI,https://www.youtube.com/watch?v=2kgTZ2npQQI,Easy Bollywood Dance Steps | Using one Footwork | Tanvi Karekar,"In this tutorial, we will be learning Easy Bollywood Dance Steps using only one footwork. Let me know in the comments if you liked ...",Tanvi Karekar,2021-08-07T06:12:24Z,163711,2544,90,PT17M43S,10,positive,1.0,10.0
Boogie-woogie,Swing dance,Swing dance Boogie-woogie tutorial,1ijkYKoig1o,https://www.youtube.com/watch?v=1ijkYKoig1o,Killer Boogie Routine – Instructions Section 1,Welcome to the World of Swing. The Killer Boogie routine is a high-energetic and challenging solo dance routine created by ...,RockThatSwing,2021-05-13T11:41:41Z,351745,7434,117,PT19M34S,10,positive,0.9,10.0
Breaking,Street dance / Electronic dance,Street dance / Electronic dance Breaking tutorial,cfx2axLiodE,https://www.youtube.com/watch?v=cfx2axLiodE,Astronomia | Shuffle Challenge | Tuzelity Shuffle Dance 2024 | Simpapa (Симпа),Astronomia | Shuffle Challenge | Tuzelity Shuffle Dance 2024 | Simpapa (Симпа) ---------------------------------------- #tuzelityshuffle ...,Mina Dance,2023-12-30T11:11:56Z,13561961,40639,725,PT9M23S,10,positive,0.9,10.0
Bugg,Swing dance,Swing dance Bugg tutorial,hCYSITp-qhg,https://www.youtube.com/watch?v=hCYSITp-qhg,SWING DANCE CLASS - Boogie Woogie 1,Hey guys! In this first class of Boogie Woogie we are learning the very basic technique with the use of triple steps! Enjoy! Like ...,Dimitri & Alexsia,2021-05-28T10:30:16Z,0,0,0,,10,positive,1.0,10.0
Bunny hop,Novelty and fad dances,Novelty and fad dances Bunny hop tutorial,T9Wuh1gH7Ng,https://www.youtube.com/watch?v=T9Wuh1gH7Ng,Flex Line Dance .💕😍❣️,, Lady Snapshot,2023-05-30T15:49:09Z,1543252,10218,154,PT4M27S,10,positive,1.0,10.0
Carolina Shag,Swing dance,Swing dance Carolina Shag tutorial,y-txQrkv1bE,https://www.youtube.com/watch?v=y-txQrkv1bE,Carolina Shag Hall of Famer Ellen Taylor and &quot;The Phenominal&quot; Michael Norris 2008 Las Vegas,"Norma Miller ""The Queen of Swing"" Gold Coast Casino Las Vegas Carolina Shag Hall of Famer Ellen Taylor with ""The ...",WJTZ Media,2020-04-07T22:09:05Z,1966136,16526,115,PT4M4S,10,positive,1.0,10.0
Cha Cha,Latin dance,Latin dance Cha Cha tutorial,3XBJevNfZMg,https://www.youtube.com/watch?v=3XBJevNfZMg,Cha Cha dance class for beginners pt.1 – Latin American partner dance basics with Brian Fortuna,Let Dancing with The Stars Pro Dancer Brian Fortuna teach you how to Cha Cha in just one short lesson. Ideal for an upbeat ...,DanceClassVideo,2022-01-12T10:35:23Z,218153,2275,27,PT15M26S,10,positive,1.0,10.0
Cham dance,Ceremonial dance,Ceremonial dance Cham dance tutorial,2Fda5WLPANI,https://www.youtube.com/watch?v=2Fda5WLPANI,Neyphu Sedra || Lagtor Cham || Vajrayana dance,Neyphu Sedra || Lagtor Cham || Vajrayana dance Video : from Neyphu shedra.,Bhutan,2023-05-05T13:49:47Z,1242,33,8,PT8M20S,5,neutral,0.4,5.0
Charleston,Swing dance,Swing dance Charleston tutorial,649jC30wVyY,https://www.youtube.com/watch?v=649jC30wVyY,6 ways to do the Charleston!  Everything you&#39;ve ever wanted to know! / secretsofsolo.com,Want to learn more like this? Get 6 free lessons here: https://bit.ly/freesolojazzpack ▻ Online school & membership: ...,Ksenia Parkhatskaya,2020-08-08T11:29:34Z,92175,2665,84,PT13M35S,10,positive,0.8,10.0
Circle dance,Social dance,Social dance Circle dance tutorial,iwh9CzOOT7E,https://www.youtube.com/watch?v=iwh9CzOOT7E,the missing link for social dancing casino,The option to move across the floor with a partner frees you from feeling like you need to constantly be coming up with turns.,Messina Dance,2024-07-07T04:59:59Z,4247,173,11,PT4M36S,5,positive,1.0,5.0
Collegiate Shag,Swing dance,Swing dance Collegiate Shag tutorial,jyiTxsrXKxA,https://www.youtube.com/watch?v=jyiTxsrXKxA,Solo Shag Mixed Class - Semester of Solo Week 3 - Murray,Welcome to week 3 of our Mixed-level classes! Here Murray gives you a super-quick run-down of the basics of solo shag!,EUSDS (EUSDS),2020-10-03T14:00:59Z,88,3,0,PT18M48S,0,,0.0,
Conga line,Novelty and fad dances,Novelty and fad dances Conga line tutorial,KaSg-uRVWEI,https://www.youtube.com/watch?v=KaSg-uRVWEI,Doing The Lambeth Walk... step by step,"Kara and Justin show you the 1930s/40s novelty dance The Lambeth Walk, step by step. Recorded in lockdown for VE Day 75.",Jeep Jump Jive,2020-05-07T22:41:02Z,346,13,0,PT17M51S,0,,0.0,
Contact improvisation,Free and improvised dance,Free and improvised dance Contact improvisation tutorial,jcrbIdY3HZc,https://www.youtube.com/watch?v=jcrbIdY3HZc,Core Connection / Sharing Balance in Contact Improv,"First of a series of three videos highlighting the individual components of Continuous Dynamic Weight Sharing, in Contact ...",InterKinected,2013-05-28T16:09:17Z,429307,2372,50,PT4M58S,10,positive,1.0,10.0
Contemporary dance,Other,Other Contemporary dance tutorial,i9isCQumafY,https://www.youtube.com/watch?v=i9isCQumafY,Contemporary Dance: How To Get Started | STEEZY.CO,"To learn more about Contemporary dance and what you need to get started, check out our new Contemporary program, only on ...",STEEZY,2021-04-18T16:30:03Z,429369,18557,122,PT5M,10,positive,0.6,10.0
Country dance,Social dance,Social dance Country dance tutorial,YORegW3-hOc,https://www.youtube.com/watch?v=YORegW3-hOc,Texas Two Step for Beginners - A Complete Tutorial,"In this Texas Two Step tutorial, we'll show you everything you need to know to start dancing the two step. We'll include beginner ...",Social Dance Online,2022-12-28T21:00:11Z,394756,2586,104,PT11M20S,10,positive,0.7,20.0
Cumbia,Latin dance,Latin dance Cumbia tutorial,l5SjNK-Gi_4,https://www.youtube.com/watch?v=l5SjNK-Gi_4,Cumbia Basics (Part 1) - 5 Ways to Improve Instantly in 2018 | How 2 Dance,"If you would like to improve your Cumbia basic steps and turns, this video will give you the knowledge and confidence to take your ...",How 2 Dance,2018-09-17T05:42:06Z,485051,9110,121,PT11M12S,10,positive,0.9,10.0
Dabkeh,Folk dance,Folk dance Dabkeh tutorial,xKhi9LUk8tU,https://www.youtube.com/watch?v=xKhi9LUk8tU,"Dabka training, Palestinian dance for beginners","Pieces for Palestine Project With Ali Obaid we learn Some basic Dabka moves, It is a Palestinian folkloric dance, not just ...",Shoruq Organization,2021-01-12T12:38:39Z,121023,3136,76,PT4M58S,10,positive,1.0,10.0
Danza,Latin dance,Latin dance Danza tutorial,uw-cKzCdgwA,https://www.youtube.com/watch?v=uw-cKzCdgwA,5 EASY Latin DANCE STEPS You NEED [STEP BY STEP] Beginners,"You'll learn Solo Basic moves for Salsa, Merengue, Cumbia, Bachata, and Reggaeton—for both men and women! Latin dance ...",Dancing with Gali,2023-11-04T03:25:35Z,72902,1404,82,PT11M16S,10,positive,1.0,20.0
Drametse Ngacham,Ceremonial dance,Ceremonial dance Drametse Ngacham tutorial,eNs9DYYhr2I,https://www.youtube.com/watch?v=eNs9DYYhr2I,Monks Mask Dance in Rinchenling Shedra (Buddhist institute),This video will be a guide to Rhodes who wants to know how to perform Getey Cham.,འཇིག་རྟེན་འདིའི་རིག་གནས་ཚང་། The Den of Knowledge ,2016-03-27T01:02:43Z,92461,466,16,PT6M6S,6,neutral,0.3333,6.0
